Color	PCH	ID	c1	Subclade	G_atrium_type	G_penis_types	G_epiphallus_type	G_penial_papilla_type	G_distal_vagina_type	G_proximal_vagina_type	S_neck	S_peristome_position	 S_lam_superior_vs_ spiralis 	S_lam_sub_ bending 	S_lunella_position 	S_plica_basalis	
#FF0317C3	1	Montenegrina drimica drimica Mdr-220	Montenegrina drimica drimica HNHM41149	H	2,0	3,0	2,0	2,0	2,0	2,0	2,0	3,0	2,0	2,0	3,0	2,0	
#FF0317C3	1	Montenegrina drimica drimica Mdr-220	Montenegrina drimica drimica HNHM41149	H	2,0	3,0	2,0	2,0	2,0	2,0	2,0	3,0	2,0	2,0	3,0	2,0	
#FF0317C3	22	Montenegrina drimica plenostoma HNHM 98945	Montenegrina drimica plenostoma HNHM 98945	H	3,0	5,0	2,0	4,0	1,0	2,0	2,0	3,0	1,0	2,0	1,0	2,0	
#FF0317C3	22	Montenegrina drimica plenostoma Mpl-430-01	Montenegrina drimica plenostoma HNHM 98945	H	3,0	5,0	2,0	4,0	1,0	2,0	2,0	3,0	1,0	2,0	1,0	2,0	
#FF0317C3	22	Montenegrina drimica plenostoma Mpl-430	Montenegrina drimica plenostoma HNHM 98945	H	3,0	5,0	2,0	4,0	1,0	2,0	2,0	3,0	1,0	2,0	1,0	2,0	
#FF0317C3	22	Montenegrina drimica plenostoma Mpl-430-03	Montenegrina drimica plenostoma HNHM 98945	H	3,0	5,0	2,0	4,0	1,0	2,0	2,0	3,0	1,0	2,0	1,0	2,0	
#FF0317C3	22	Montenegrina drimica plenostoma Mpl-430	Montenegrina drimica plenostoma HNHM98945	H	2,0	4,0	1,0	3,0	3,0	2,0	2,0	3,0	1,0	2,0	1,0	2,0	
#FF0317C3	22	Montenegrina drimica plenostoma Mpl-430	Montenegrina drimica plenostoma HNHM98945	H	2,0	4,0	1,0	3,0	3,0	2,0	2,0	3,0	1,0	2,0	1,0	2,0	
#FF0317C3	22	Montenegrina drimica plenostoma Mpl-430	Montenegrina drimica plenostoma HNHM98945	H	2,0	4,0	1,0	3,0	3,0	2,0	2,0	3,0	1,0	2,0	1,0	2,0	
#FF0317C3	22	Montenegrina drimica plenostoma Mpl-430	Montenegrina drimica plenostoma HNHM98945	H	2,0	4,0	1,0	3,0	3,0	2,0	2,0	3,0	1,0	2,0	1,0	2,0	
#FF0317C3	24	Montenegrina gropana Mop-316-01	Montenegrina gropana HNHM 99503 	H	1,0	1,0	2,0	6,0	1,0	1,0	2,0	3,0	2,0	2,0	2,0	2,0	
#FF0317C3	24	Montenegrina gropana Mop-316	Montenegrina gropana HNHM 99503 	H	1,0	1,0	2,0	6,0	1,0	1,0	2,0	3,0	2,0	2,0	2,0	2,0	
#FF0317C3	25	Montenegrina timeae Mti-239-01	Montenegrina timeae HNHM 94856 	H	1,0	1,0	1,0	1,0	1,0	1,0	2,0	3,0	1,0	2,0	1,0	1,0	
#FF0317C3	25	Montenegrina timeae Mti-239	Montenegrina timeae HNHM 94856 	H	1,0	1,0	1,0	1,0	1,0	1,0	2,0	3,0	1,0	2,0	1,0	1,0	
#FF118BFA	1	Montenegrina gracilis barinai Mba-453-01	Montenegrina gracilis barinai HNHM 99008	I	1,0	3,0	2,0	1,0	3,0	3,0	1,0	3,0	3,0	2,0	3,0	1,0	
#FF118BFA	1	Montenegrina gracilis barinai Mba-453-02	Montenegrina gracilis barinai HNHM 99008	I	1,0	3,0	2,0	1,0	3,0	3,0	1,0	3,0	3,0	2,0	3,0	1,0	
#FF118BFA	22	Montenegrina gracilis gracilis Mgc-277-01	Montenegrina gracilis gracilis HNHM 94887	I	1,0	1,0	2,0	2,0	3,0	3,0	1,0	3,0	2,0	2,0	2,0	1,0	
#FF118BFA	22	Montenegrina gracilis gracilis Mgc-277-02	Montenegrina gracilis gracilis HNHM 94887	I	1,0	1,0	2,0	2,0	3,0	3,0	1,0	3,0	2,0	2,0	2,0	1,0	
#FF118BFA	22	Montenegrina gracilis gracilis Mgc-277	Montenegrina gracilis gracilis HNHM 94887	I	1,0	1,0	2,0	2,0	3,0	3,0	1,0	3,0	2,0	2,0	2,0	1,0	
#FF118BFA	24	Montenegrina helvola carinata Mci-466	Montenegrina helvola carinata HNHM 99618 	I	3,0	2,0	1,0	6,0	3,0	2,0	1,0	1,0	1,0	1,0	3,0	1,0	
#FF118BFA	24	Montenegrina helvola carinata Mci-466	Montenegrina helvola carinata HNHM 99618 	I	3,0	2,0	1,0	6,0	3,0	2,0	1,0	1,0	1,0	1,0	3,0	1,0	
#FF118BFA	24	Montenegrina helvola carinata Mci-466-01	Montenegrina helvola carinata HNHM 99618 	I	3,0	2,0	1,0	6,0	3,0	2,0	1,0	1,0	1,0	1,0	3,0	1,0	
#FF118BFA	25	Montenegrina helvola magna Mmg-435-01	Montenegrina helvola magna HNHM98962	I	3,0	7,0	1,0	6,0	3,0	2,0	1,0	1,0	1,0	1,0	3,0	1,0	
#FF118BFA	25	Montenegrina helvola magna Mmg-435	Montenegrina helvola magna HNHM98962	I	3,0	7,0	1,0	6,0	3,0	2,0	1,0	1,0	1,0	1,0	3,0	1,0	
#FF118BFA	23	Montenegrina helvola ornata Mor-318-01	Montenegrina helvola ornata HNHM99617	I	1,0	1,0	1,0	4,0	3,0	2,0	1,0	1,0	1,0	1,0	3,0	1,0	
#FF118BFA	23	Montenegrina helvola ornata Mor-318	Montenegrina helvola ornata HNHM99617	I	1,0	1,0	1,0	4,0	3,0	2,0	1,0	1,0	1,0	1,0	3,0	1,0	
