taxon_1	taxon_2	distance_KM	DNA	Morph
Mir_376_01	Msi_553_01	134.7	0.104675039	0.52544675
Mir_376_01	Msi_553_05	134.7	0.106534706	0.55827107
Mir_376_01	Mst_510_01	173.6	0.104831219	0.88393915
Mjn_382_02	Mjn_383_01	0	0.026364961	0.4566548
Mjn_382_02	Mwe_350_01	69.6	0.121353632	0.70379224
Mjn_382_02	Mpa_392_01	47.3	0.128013416	0.69248016
Mjn_382_02	Mir_376_01	16.2	0.112537403	0.57626672
Mjn_382_02	Mrl_381_01	1.3	0.121284193	0.74537753
Mjn_382_02	Mdo_537_01	143.5	0.152977538	0.60500121
Mjn_382_02	Mfa_507_01	142.8	0.128100293	0.49147591
Mjn_382_02	Mks_401_01	99.4	0.106349967	0.65746312
Mjn_382_02	Mro_554_01	112.1	0.102899737	0.75898717
Mjn_382_02	Mpi_508_01	143.1	0.108294854	0.45939892
Mjn_382_02	Mpi_508_03	143.1	0.108294854	0.45939892
Mjn_382_02	Mpr_404_03	131.4	0.113116956	0.79924901
Mjn_382_02	Msi_553_01	125.5	0.116597716	0.29721852
Mjn_382_02	Msi_553_05	125.5	0.116685272	0.3124568
Mjn_382_02	Mst_510_01	158.9	0.110085842	1.0085234
Mjn_383_01	Mwe_350_01	69.6	0.123429743	0.57110134
Mjn_383_01	Mpa_392_01	47.3	0.136929702	0.66679567
Mjn_383_01	Mir_376_01	16.2	0.117714559	0.4285091
Mjn_383_01	Mrl_381_01	1.3	0.101865756	0.48487417
Mjn_383_01	Mdo_537_01	143.5	0.154556603	0.46107453
Mjn_383_01	Mfa_507_01	142.8	0.14771982	0.70838809
Mjn_383_01	Mks_401_01	99.4	0.119505583	0.70882286
Mjn_383_01	Mro_554_01	112.1	0.110944242	0.7882059
Mjn_383_01	Mpi_508_01	143.1	0.111566283	0.3759733
Mjn_383_01	Mpi_508_03	143.1	0.111566283	0.3759733
Mjn_383_01	Mpr_404_03	131.4	0.113032374	0.67752891
Mjn_383_01	Msi_553_01	125.5	0.124174031	0.42536595
Mjn_383_01	Msi_553_05	125.5	0.109566519	0.49848399
Mjn_383_01	Mst_510_01	158.9	0.13517655	0.80320097
Mks_401_01	Mro_554_01	16.6	0.003607596	0.43686951
Mks_401_01	Mpi_508_01	64.7	0.080722065	0.70761639
Mks_401_01	Mpi_508_03	64.7	0.080722065	0.60825737
Mks_401_01	Mpr_404_03	44.4	0.071861175	0.45422582
Mks_401_01	Msi_553_01	36.5	0.08538592	0.63123543
Mks_401_01	Msi_553_05	36.5	0.06855242	0.66590303
Mks_401_01	Mst_510_01	78	0.105493829	0.71494163
Mpa_392_01	Mir_376_01	62.3	0.147985639	0.83265924
Mpa_392_01	Mrl_381_01	49.1	0.073319846	0.53307793
Mpa_392_01	Mdo_537_01	104.5	0.138353237	1.0037486
Mpa_392_01	Mfa_507_01	105.3	0.180527007	0.81170341
Mpa_392_01	Mks_401_01	79.5	0.143944812	0.81704227
Mpa_392_01	Mro_554_01	84.6	0.130207897	1.0173014
Mpa_392_01	Mpi_508_01	105.2	0.27812451	0.92214047
Mpa_392_01	Mpi_508_03	105.2	0.202942997	0.96430853
Mpa_392_01	Mpr_404_03	97.5	0.147918044	0.85783994
Mpa_392_01	Msi_553_01	95	0.1460468	0.45996833
Mpa_392_01	Msi_553_05	95	0.126871514	0.51039732
Mpa_392_01	Mst_510_01	119.4	0.154525667	1.0409485
Mpi_508_01	Mpi_508_03	0	0.208551532	0.57911522
Mpi_508_01	Mpr_404_03	21.7	0.09255216	0.80262114
