Color	Shape	ID	c1	Subclade	SH	W	SMW	BWH	AH	AW	OA	LA	PC	PCRL	P	PRL	E	ERL	V	VRL	FO	FORL	DBC	DBCRL	D	DRL	BC	BCRL	atrium_type_simplified	penis_types_simplified	epiphallus_type_simplified	penial_papilla_type_simplified	distal_vagina_type_simplified	proximal_vagina_type_simplified	1 neck_inflection	4 peristome_position	 5 lam_superior_vs_ spiralis 	7 lam_sub_ bending 	8 lunella_position 	9 plica_basalis	
#FF118BFA	Fill inv. tri	Montenegrina helvola magna HNHM98962	Montenegrina helvola magna HNHM98962	I	18	11	3.6	6.1	3.7	3	63.9	80.2	4.0	22.0	1.5	8.2	2.2	12.1	2.6	14.3	0.6	3.3	0.4	2.2	1.6	8.8	1.6	8.8	3.0	7.0	1.0	6.0	3.0	2.0	1.0	1.0	1.0	1.0	3.0	1.0	
#FF118BFA	Fill diamond	Montenegrina helvola ornata HNHM99617	Montenegrina helvola ornata HNHM99617	I	17.4	11.0	3.8	6.3	4.2	3.4	74.4	80.4	7.0	40.2	3.5	20.1	3.5	20.1	4.7	27.0	0.7	4.0	0.7	4.0	3.6	20.7	1.9	10.9	1.0	1.0	1.0	4.0	3.0	2.0	1.0	1.0	1.0	1.0	3.0	1.0	
#FF118BFA	Fill diamond	Montenegrina helvola ornata HNHM99617	Montenegrina helvola ornata HNHM99617	I	17	11.1	3.7	6.1	4	3	74	81.2	7.1	41.5	3.2	18.7	3.5	20.5	4.9	28.7	0.6	3.5	0.8	4.7	3.5	20.5	2.0	11.7	1.0	1.0	1.0	4.0	3.0	2.0	1.0	1.0	1.0	1.0	3.0	1.0	
#FF118BFA	Star	Montenegrina helvola pageti NHMW110430MN0077	Montenegrina helvola pageti NHMW110430MN0077	I	17.0	10.5	4.1	6.3	3.9	3.6	72.0	70.0	5.4	32.0	2.7	16.0	2.7	16.0	3.1	18.3	1.8	10.7	0.4	2.4	4.2	24.9	2.5	14.8	3.0	3.0	1.0	6.0	3.0	3.0	1.0	1.0	1.0	1.0	2.0	1.0	
#FF118BFA	Star	Montenegrina helvola pageti NHMW110430MN0077	Montenegrina helvola pageti NHMW110430MN0077	I	16.8	10.2	4	6.1	3.4	3.3	72.3	71.2	5.5	32.4	2.8	16.5	2.8	16.5	3.3	19.4	1.8	10.6	0.5	2.9	4.4	25.9	2.6	15.3	3.0	3.0	1.0	6.0	3.0	3.0	1.0	1.0	1.0	1.0	2.0	1.0	
#FF118BFA	Diamond	Montenegrina nana HNHM 98973 	Montenegrina nana HNHM 98973 	I	15.1	10.3	4.1	5.0	3.6	3.3	66.6	91.2	5.4	35.8	2.4	15.9	3.0	19.9	2.7	17.9	0.5	3.3	0.6	4.0	3.2	21.2	2.6	17.2	2.0	7.0	1.0	3.0	3.0	2.0	1.0	3.0	2.0	2.0	3.0	1.0	
#FF118BFA	Diamond	Montenegrina nana HNHM 98973 	Montenegrina nana HNHM 98973 	I	15	10	3.9	4.8	3.4	3.1	66.1	90.2	5.5	36.4	2.5	16.6	3.1	20.5	3.0	19.9	0.6	4.0	0.7	4.6	3.2	21.2	2.8	18.5	2.0	7.0	1.0	3.0	3.0	2.0	1.0	3.0	2.0	2.0	3.0	1.0	
#FF118BFA	Triangle	Montenegrina ochridensis callistoma HNHM 98954	Montenegrina ochridensis callistoma HNHM 98954	I	16.8	11.0	4.8	5.5	3.6	3.5	72.6	83.2	4.5	26.8	1.0	6.0	3.5	20.8	3.0	17.9	1.3	7.7	0.5	3.0	2.8	16.7	2.4	14.3	3.0	5.0	2.0	4.0	1.0	2.0	2.0	3.0	1.0	2.0	1.0	2.0	
#FF118BFA	Triangle	Montenegrina ochridensis callistoma HNHM 98954	Montenegrina ochridensis callistoma HNHM 98954	I	17.0	11.1	4.7	5.5	3.7	3.4	73.1	83.1	4.6	27.1	1.0	5.9	3.5	20.6	3.1	18.2	1.3	7.6	0.6	3.5	2.9	17.1	2.4	14.1	3.0	5.0	2.0	4.0	1.0	2.0	2.0	3.0	1.0	2.0	1.0	2.0	
#FF118BFA	Triangle	Montenegrina ochridensis callistoma HNHM 98977	Montenegrina ochridensis callistoma HNHM 98977	I	16.9	11.0	5.1	5.8	3.9	3.6	72.3	82.3	4.5	26.6	1.2	7.1	3.4	20.1	3.2	18.9	1.2	7.1	0.6	3.6	3.0	17.8	2.6	15.4	3.0	5.0	2.0	4.0	1.0	2.0	2.0	3.0	1.0	2.0	1.0	2.0	
#FF118BFA	Triangle	Montenegrina ochridensis callistoma HNHM 98977	Montenegrina ochridensis callistoma HNHM 98977	I	17.3	11.4	4.6	5.6	3.8	3.2	73.1	82.3	5.0	28.9	2.2	12.7	2.8	16.2	2.2	12.7	0.7	4.0	0.6	3.5	2.7	15.6	4.2	24.3	3.0	4.0	2.0	3.0	3.0	2.0	2.0	3.0	1.0	2.0	1.0	2.0	
