Color	Shape	Species	shell_height	penislenght	epiphallus_lenght	vagina_lenght	free_oviduct_lenght	duct_of_bursa_copulatrix_lenght	diverticulum_lenght	bursa_copulatrix_lenght	penisrelativelenght	epiphallus_relative_lenght	vagina_relative_lenght	free_oviduct_relative_lenght	duct_of_bursa_copulatrix_relative_lenght	diverticulum_relative_lenght	bursa_copulatrix_relative_lenght	atrium_type_simplified	penis_types_simplified	epiphallus_type_simplified	penial_papilla_type_simplified	distal_vagina_type_simplified	M. proximal_vagina_type_simplified	1neck_inflection	4peristome_position	5lam_superior_vs_spiralis	7lam_sub_bending	8lunella_position	9plica_basalis	
#FF6666	1	M. rugilabris rugilabris	18.9	1.5	3.5	2.5	0.6	0.4	4.9	1.7	7.9	18.5	13.2	3.2	2.1	25.9	9.0	3.0	3.0	1.0	2.0	3.0	2.0	2.0	3.0	1.0	1.0	1.0	2.0	
#990000	21	M. dofleini dofleini	18.3	1.7	2.6	1.9	0.9	0.6	2.6	3.3	9.3	14.2	10.4	4.9	3.3	14.2	18.0	2.0	4.0	1.0	2.0	3.0	2.0	2.0	3.0	2.0	2.0	1.0	2.0	
#990000	21	M. dofleini dofleini	18.1	1.7	2.6	2.1	0.9	0.6	2.5	3.4	9.4	14.4	11.6	5.0	3.3	13.8	18.8	2.0	4.0	1.0	2.0	3.0	2.0	2.0	3.0	2.0	2.0	1.0	2.0	
#990000	22	M. dofleini fagorum	12.8	1.1	1.9	1.3	1.2	0.9	1.1	1.9	8.6	14.8	10.2	9.4	7.0	8.6	14.8	2.0	5.0	1.0	3.0	2.0	2.0	1.0	3.0	2.0	2.0	1.0	3.0	
#990000	22	M. dofleini fagorum	11.9	1.0	1.8	1.4	1.1	1.1	1.1	1.8	8.4	15.1	11.8	9.2	9.2	9.2	15.1	2.0	5.0	1.0	3.0	2.0	2.0	1.0	3.0	2.0	2.0	1.0	3.0	
#990000	22	M. dofleini fagorum	12.4	1.1	1.9	1.1	1.2	1.0	1.0	1.7	8.9	15.3	8.9	9.7	8.1	8.1	13.7	2.0	5.0	1.0	3.0	2.0	2.0	1.0	3.0	2.0	2.0	1.0	3.0	
#990000	24	M. kastoriae kastoriae	18.8	0.9	3.6	2.3	1.3	0.6	2.2	2.2	4.8	19.1	12.2	6.9	3.2	11.7	11.7	3.0	2.0	1.0	3.0	3.0	2.0	2.0	3.0	1.0	2.0	1.0	3.0	
#990000	24	M. kastoriae kastoriae	18.6	0.9	3.5	2.4	1.2	0.5	2.1	2.1	4.8	18.8	12.9	6.5	2.7	11.3	11.3	3.0	2.0	1.0	3.0	3.0	2.0	2.0	3.0	1.0	2.0	1.0	3.0	
#990000	25	M. kastoriae robusta	22.4	1.8	3.1	2.5	2.0	0.6	1.3	2.0	8.0	13.8	11.2	8.9	2.7	5.8	8.9	3.0	2.0	1.0	3.0	2.0	2.0	2.0	3.0	1.0	1.0	1.0	1.0	
#990000	23	M. pinteri	16.3	1.7	1.9	1.6	0.7	0.3	1.7	1.7	10.4	11.7	9.8	4.3	1.8	10.4	10.4	2.0	5.0	1.0	3.0	3.0	2.0	2.0	3.0	1.0	2.0	1.0	2.0	
#990000	23	M. pinteri	16.4	1.7	1.9	1.7	0.7	0.2	1.8	1.6	10.4	11.6	10.4	4.3	1.2	11.0	9.8	2.0	5.0	1.0	3.0	3.0	2.0	2.0	3.0	1.0	2.0	1.0	2.0	
#990000	8	M. prespaensis	16.2	1.7	2.9	4.2	1.0	0.7	1.5	2.2	10.5	17.9	25.9	6.2	4.3	9.3	13.6	3.0	5.0	1.0	2.0	5.0	2.0	2.0	3.0	3.0	2.0	1.0	3.0	
#990000	8	M. prespaensis	16.3	1.6	3.0	3.9	0.9	0.9	1.6	2.3	9.8	18.4	23.9	5.5	5.5	9.8	14.1	3.0	5.0	1.0	2.0	5.0	2.0	2.0	3.0	3.0	2.0	1.0	3.0	
#990000	8	M. prespaensis	16.2	1.6	2.9	3.8	0.8	1.0	1.4	2.1	9.9	17.9	23.5	4.9	6.2	8.6	13.0	3.0	5.0	1.0	2.0	5.0	2.0	2.0	3.0	3.0	2.0	1.0	3.0	
#990000	8	M. prespaensis	16.3	1.6	3.0	4.0	0.9	0.9	1.6	2.3	9.8	18.4	24.5	5.5	5.5	9.8	14.1	3.0	5.0	1.0	2.0	5.0	2.0	2.0	3.0	3.0	2.0	1.0	3.0	
#990000	8	M. prespaensis	16.3	1.5	3.0	4.0	0.8	0.7	1.6	2.2	9.2	18.4	24.5	4.9	4.3	9.8	13.5	3.0	5.0	1.0	2.0	5.0	2.0	2.0	3.0	3.0	2.0	1.0	3.0	
#990000	8	M. prespaensis	16.1	1.6	3.1	4.1	0.9	0.8	1.5	2.2	9.9	19.3	25.5	5.6	5.0	9.3	13.7	3.0	5.0	1.0	2.0	5.0	2.0	2.0	3.0	3.0	2.0	1.0	3.0	
#990000	8	M. prespaensis	16.0	1.5	2.9	4.0	0.7	1.1	1.7	2.4	9.4	18.1	25.0	4.4	6.9	10.6	15.0	3.0	5.0	1.0	2.0	5.0	2.0	2.0	3.0	3.0	2.0	1.0	3.0	
#990000	8	M. prespaensis	16.6	1.7	3.0	3.9	0.9	0.9	1.7	2.4	10.2	18.1	23.5	5.4	5.4	10.2	14.5	3.0	5.0	1.0	2.0	5.0	2.0	2.0	3.0	3.0	2.0	1.0	3.0	
#990000	8	M. prespaensis	16.4	1.7	2.9	3.9	0.7	1.0	1.6	2.2	10.4	17.7	23.8	4.3	6.1	9.8	13.4	3.0	5.0	1.0	2.0	5.0	2.0	2.0	3.0	3.0	2.0	1.0	3.0	
#990000	5	M. sinosi	15.3	1.1	1.8	1.2	0.5	0.6	1.7	1.5	7.2	11.8	7.8	3.3	3.9	11.1	9.8	3.0	2.0	4.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	1.0	3.0	
#990000	5	M. sinosi	15.1	1.0	1.7	1.1	0.5	0.7	1.6	1.5	6.6	11.3	7.3	3.3	4.6	10.6	9.9	3.0	2.0	4.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	1.0	3.0	
#990000	5	M. sinosi	15.3	1.1	1.8	1.2	0.4	0.6	1.6	1.5	7.2	11.8	7.8	2.6	3.9	10.5	9.8	3.0	2.0	4.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	1.0	3.0	
#990000	2	M. stankovici	15.4	2.8	2.7	5.6	1.4	0.3	1.9	2.2	18.2	17.5	36.4	9.1	1.9	12.3	14.3	3.0	4.0	4.0	3.0	2.0	2.0	2.0	3.0	2.0	3.0	1.0	3.0	
#990000	2	M. stankovici	15.4	2.8	2.7	5.7	1.5	0.4	2.0	2.3	18.2	17.5	37.0	9.7	2.6	13.0	14.9	3.0	4.0	4.0	3.0	2.0	2.0	2.0	3.0	2.0	3.0	1.0	3.0	
